vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.11,47.0,1.8056,0.8838,592.0707,542.7739,69.931
0.11,47.0,1.8056,0.8838,592.0707,542.7739,69.931
0.11,47.0,1.8056,0.8838,592.0707,542.7739,69.931
0.11,51.0,1.8056,0.8828,586.8402,537.609,73.3291
0.11,51.0,1.8056,0.8828,586.8402,537.609,73.3291
0.11,51.0,1.8056,0.8828,586.8402,537.609,73.3291
0.11,18.0,1.9722,0.8811,627.5852,577.5567,45.0687
0.11,18.0,1.9722,0.8811,627.5852,577.5567,45.0687
0.11,18.0,1.9722,0.8811,627.5852,577.5567,45.0687
0.11,20.0,1.9722,0.8807,625.2501,575.341,46.7644
0.11,20.0,1.9722,0.8807,625.2501,575.341,46.7644
0.11,20.0,1.9722,0.8807,625.2501,575.341,46.7644
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,24.0,1.9722,0.8799,620.5352,570.8496,50.1598
0.11,30.0,1.9722,0.8786,613.3439,563.9611,55.2569
0.11,31.0,1.9722,0.8783,612.1306,562.7954,56.1059
0.11,31.0,1.9722,0.8783,612.1306,562.7954,56.1059
0.11,31.0,1.9722,0.8783,612.1306,562.7954,56.1059
0.11,34.0,1.9722,0.8777,607.2332,558.0691,59.5076
0.11,35.0,1.9722,0.8774,607.2332,558.0691,59.5076
0.11,35.0,1.9722,0.8774,607.2332,558.0691,59.5076
0.11,35.0,1.9722,0.8774,607.2332,558.0691,62.0599
0.11,38.0,1.9722,0.8767,603.5113,554.461,62.0599
0.11,38.0,1.9722,0.8767,603.5113,554.461,62.0599
0.11,38.0,1.9722,0.8767,603.5113,554.461,62.0599
0.11,38.0,1.9722,0.8767,603.5113,554.461,62.0599
